# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
H|chkNvNoAnsel|Spegne Ansel, l'overlay fotografico di NVIDIA che resta caricato in ogni gioco.|Turns off Ansel, NVIDIA's photo overlay that stays loaded in every game.|Desactiva Ansel, la capa de fotos de NVIDIA que queda cargada en cada juego.|Schaltet Ansel ab, das Foto-Overlay von NVIDIA, das in jedem Spiel geladen bleibt.|Désactive Ansel, la surcouche photo de NVIDIA chargée dans chaque jeu.|Wyłącza Ansel, nakładkę zdjęciową NVIDIA ładowaną w każdej grze.|Desativa o Ansel, a sobreposição de fotos da NVIDIA que fica carregada em cada jogo.|Dezactivează Ansel, suprapunerea foto NVIDIA încărcată în fiecare joc.|Отключает Ansel — фотооверлей NVIDIA, загружаемый в каждой игре.
H|chkIntelTelemetry|Disattiva il programma di miglioramento e il resoconto d'uso installati con l'assistente driver Intel. Il driver grafico non ne ha bisogno.|Disables the improvement program and usage report installed with Intel's driver assistant. The graphics driver does not need them.|Desactiva el programa de mejora y el informe de uso instalados con el asistente de controladores de Intel. El controlador gráfico no los necesita.|Deaktiviert das Verbesserungsprogramm und den Nutzungsbericht, die mit Intels Treiberassistent installiert werden. Der Grafiktreiber braucht sie nicht.|Désactive le programme d'amélioration et le rapport d'utilisation installés avec l'assistant de pilotes Intel. Le pilote graphique n'en a pas besoin.|Wyłącza program ulepszeń i raport użycia instalowane z asystentem sterowników Intel. Sterownik grafiki ich nie potrzebuje.|Desativa o programa de melhoria e o relatório de uso instalados com o assistente de drivers da Intel. O driver gráfico não precisa deles.|Dezactivează programul de îmbunătățire și raportul de utilizare instalate cu asistentul de drivere Intel. Driverul grafic nu are nevoie de ele.|Отключает программу улучшения и отчёт об использовании, устанавливаемые помощником драйверов Intel. Графическому драйверу они не нужны.
H|chkIntelGfxPower|Nel piano energetico, con l'alimentazione collegata, la grafica integrata Intel lavora alla frequenza piena invece di risparmiare. A batteria non cambia nulla.|In the power plan, while plugged in, Intel integrated graphics run at full clock instead of saving power. Nothing changes on battery.|En el plan de energía, con el cargador conectado, la gráfica integrada Intel funciona a máxima frecuencia en lugar de ahorrar. Con batería no cambia nada.|Im Energiesparplan läuft die integrierte Intel-Grafik am Netz mit vollem Takt statt zu sparen. Im Akkubetrieb ändert sich nichts.|Dans le mode d'alimentation, sur secteur, la carte graphique intégrée Intel tourne à pleine fréquence au lieu d'économiser. Sur batterie, rien ne change.|W planie zasilania, na zasilaczu, zintegrowana grafika Intel działa z pełnym taktowaniem zamiast oszczędzać. Na baterii nic się nie zmienia.|No plano de energia, na tomada, a gráfica integrada Intel roda no clock máximo em vez de economizar. Na bateria nada muda.|În planul de alimentare, la priză, grafica integrată Intel rulează la frecvență maximă în loc să economisească. Pe baterie nu se schimbă nimic.|В схеме питания от сети встроенная графика Intel работает на полной частоте, а не экономит. От батареи ничего не меняется.
H|chkIntelDpst|Sui portatili Intel lo schermo abbassa luminosità e contrasto in base a ciò che mostra: spento, i colori restano costanti. Su alcuni modelli il driver lo riaccende al riavvio.|On Intel laptops the screen lowers brightness and contrast based on what it shows: off, colors stay constant. On some models the driver turns it back on at restart.|En portátiles Intel la pantalla baja brillo y contraste según lo que muestra: desactivado, los colores se mantienen constantes. En algunos modelos el controlador lo reactiva al reiniciar.|Auf Intel-Laptops senkt der Bildschirm Helligkeit und Kontrast je nach Inhalt: ausgeschaltet bleiben die Farben konstant. Bei manchen Modellen schaltet der Treiber es nach dem Neustart wieder ein.|Sur les portables Intel, l'écran baisse luminosité et contraste selon ce qu'il affiche : désactivé, les couleurs restent constantes. Sur certains modèles, le pilote le réactive au redémarrage.|W laptopach Intel ekran obniża jasność i kontrast zależnie od treści: po wyłączeniu kolory są stałe. W niektórych modelach sterownik włącza to ponownie po restarcie.|Em notebooks Intel a tela reduz brilho e contraste conforme o conteúdo: desligado, as cores ficam constantes. Em alguns modelos o driver reativa ao reiniciar.|Pe laptopurile Intel ecranul scade luminozitatea și contrastul după conținut: dezactivat, culorile rămân constante. Pe unele modele driverul îl reactivează la repornire.|На ноутбуках Intel экран снижает яркость и контраст в зависимости от изображения: при отключении цвета постоянны. На некоторых моделях драйвер включает это снова после перезагрузки.
H|chkCpuIntelBoostPol|Con l'alimentazione collegata, il turbo dei processori Intel sale senza il limite della politica del piano energetico. A batteria resta com'era.|While plugged in, Intel processor turbo climbs without the power plan's policy limit. On battery it stays as before.|Con el cargador conectado, el turbo de los procesadores Intel sube sin el límite de política del plan de energía. Con batería queda como antes.|Am Netz steigt der Turbo von Intel-Prozessoren ohne die Richtliniengrenze des Energiesparplans. Im Akkubetrieb bleibt alles wie vorher.|Sur secteur, le turbo des processeurs Intel monte sans la limite de stratégie du mode d'alimentation. Sur batterie, rien ne change.|Na zasilaczu turbo procesorów Intel rośnie bez limitu zasad planu zasilania. Na baterii bez zmian.|Na tomada, o turbo dos processadores Intel sobe sem o limite de política do plano de energia. Na bateria fica como antes.|La priză, turbo-ul procesoarelor Intel urcă fără limita de politică a planului de alimentare. Pe baterie rămâne ca înainte.|От сети турбо процессоров Intel растёт без ограничения политики схемы питания. От батареи всё как раньше.
H|chkCpuIntelHybrid|Solo processori con core P ed E (dalla 12ª generazione): i thread vanno ai core P quando possibile. Utile nei giochi; i core E restano disponibili quando il carico cresce.|Only processors with P and E cores (12th gen onward): threads go to the P-cores when possible. Useful in games; the E-cores stay available as load grows.|Solo procesadores con núcleos P y E (desde la 12.ª generación): los hilos van a los núcleos P cuando es posible. Útil en juegos; los núcleos E siguen disponibles cuando sube la carga.|Nur Prozessoren mit P- und E-Kernen (ab 12. Generation): Threads gehen wenn möglich auf die P-Kerne. Nützlich in Spielen; die E-Kerne bleiben bei steigender Last verfügbar.|Uniquement les processeurs à cœurs P et E (12e génération et suivantes) : les threads vont sur les cœurs P si possible. Utile en jeu ; les cœurs E restent disponibles quand la charge augmente.|Tylko procesory z rdzeniami P i E (od 12. generacji): wątki trafiają na rdzenie P, gdy to możliwe. Przydatne w grach; rdzenie E są dostępne przy większym obciążeniu.|Só processadores com núcleos P e E (a partir da 12ª geração): as threads vão para os núcleos P quando possível. Útil em jogos; os núcleos E seguem disponíveis quando a carga sobe.|Doar procesoarele cu nuclee P și E (de la generația 12): firele merg pe nucleele P când e posibil. Util în jocuri; nucleele E rămân disponibile când crește sarcina.|Только процессоры с ядрами P и E (с 12-го поколения): потоки по возможности идут на P-ядра. Полезно в играх; E-ядра доступны при росте нагрузки.
H|chkCpuAmdParking|Con l'alimentazione collegata tutti i core restano pronti invece di essere parcheggiati. Non si attiva sui Ryzen X3D a due chiplet, dove il parcheggio serve ai giochi.|While plugged in, all cores stay ready instead of being parked. Not available on dual-chiplet Ryzen X3D, where parking helps games.|Con el cargador conectado, todos los núcleos quedan listos en lugar de aparcarse. No disponible en Ryzen X3D de dos chiplets, donde el aparcamiento ayuda a los juegos.|Am Netz bleiben alle Kerne bereit, statt geparkt zu werden. Nicht verfügbar auf Ryzen X3D mit zwei Chiplets, wo das Parken Spielen hilft.|Sur secteur, tous les cœurs restent prêts au lieu d'être parqués. Indisponible sur les Ryzen X3D à deux chiplets, où le parcage aide les jeux.|Na zasilaczu wszystkie rdzenie są gotowe zamiast parkowane. Niedostępne na Ryzen X3D z dwoma chipletami, gdzie parkowanie pomaga grom.|Na tomada, todos os núcleos ficam prontos em vez de estacionados. Indisponível nos Ryzen X3D com dois chiplets, onde o estacionamento ajuda os jogos.|La priză, toate nucleele rămân pregătite în loc să fie parcate. Indisponibil pe Ryzen X3D cu două chipleturi, unde parcarea ajută jocurile.|От сети все ядра остаются готовыми, а не паркуются. Недоступно на Ryzen X3D с двумя чиплетами, где парковка помогает играм.
H|chkCpuIdleOff|Il processore non entra mai negli stati di riposo: latenza minima, ma consumi e temperature sempre alti anche a PC fermo. Solo su un fisso ben raffreddato, con l'alimentazione collegata.|The processor never enters idle states: minimum latency, but power draw and temperatures stay high even at rest. Only on a well-cooled desktop, while plugged in.|El procesador nunca entra en estados de reposo: latencia mínima, pero consumo y temperaturas altos incluso en reposo. Solo en un sobremesa bien refrigerado y con el cargador conectado.|Der Prozessor geht nie in Ruhezustände: minimale Latenz, aber Verbrauch und Temperaturen bleiben auch im Leerlauf hoch. Nur auf einem gut gekühlten Desktop, am Netz.|Le processeur n'entre jamais en état de repos : latence minimale, mais consommation et températures élevées même au repos. Seulement sur un PC fixe bien refroidi, sur secteur.|Procesor nigdy nie przechodzi w stany bezczynności: minimalne opóźnienia, ale pobór i temperatury są wysokie nawet w spoczynku. Tylko na dobrze chłodzonym komputerze stacjonarnym, na zasilaczu.|O processador nunca entra em estados ociosos: latência mínima, mas consumo e temperaturas altos mesmo em repouso. Só em desktop bem refrigerado, na tomada.|Procesorul nu intră niciodată în stări de repaus: latență minimă, dar consum și temperaturi mari chiar în repaus. Doar pe un desktop bine răcit, la priză.|Процессор никогда не переходит в состояния простоя: минимальная задержка, но потребление и температура высокие даже в покое. Только на хорошо охлаждаемом ПК от сети.
L|tabTools|Strumenti|Tools|Herramientas|Werkzeuge|Outils|Narzędzia|Ferramentas|Instrumente|Инструменты
L|ttlToolJobs|OPERAZIONI|OPERATIONS|OPERACIONES|VORGÄNGE|OPÉRATIONS|OPERACJE|OPERAÇÕES|OPERAȚIUNI|ОПЕРАЦИИ
L|btnToolJobsClose|Chiudi|Close|Cerrar|Schließen|Fermer|Zamknij|Fechar|Închide|Закрыть
L|ttlWu|WINDOWS UPDATE|WINDOWS UPDATE|WINDOWS UPDATE|WINDOWS UPDATE|WINDOWS UPDATE|WINDOWS UPDATE|WINDOWS UPDATE|WINDOWS UPDATE|WINDOWS UPDATE
L|lblWuHint|Scegli un profilo: entra tra le modifiche da applicare. Un secondo clic lo toglie.|Pick a profile: it joins the changes to apply. A second click removes it.|Elige un perfil: entra en los cambios por aplicar. Un segundo clic lo quita.|Profil wählen: es kommt zu den anzuwendenden Änderungen. Ein zweiter Klick entfernt es.|Choisissez un profil : il rejoint les modifications à appliquer. Un second clic le retire.|Wybierz profil: trafi do zmian do zastosowania. Drugie kliknięcie go usuwa.|Escolha um perfil: entra nas alterações a aplicar. Um segundo clique o remove.|Alege un profil: intră în modificările de aplicat. Al doilea clic îl scoate.|Выберите профиль: он попадёт в изменения. Повторный щелчок убирает его.
L|chkWuProfile|Profilo di Windows Update|Windows Update profile|Perfil de Windows Update|Windows-Update-Profil|Profil Windows Update|Profil Windows Update|Perfil do Windows Update|Profil Windows Update|Профиль Windows Update
L|ttlAdvCompat|OROLOGIO E PERIFERICHE|CLOCK AND PERIPHERALS|RELOJ Y PERIFÉRICOS|UHR UND PERIPHERIE|HORLOGE ET PÉRIPHÉRIQUES|ZEGAR I PERYFERIA|RELÓGIO E PERIFÉRICOS|CEAS ȘI PERIFERICE|ЧАСЫ И ПЕРИФЕРИЯ
L|chkAdvUtc|Orologio del BIOS in UTC (doppio avvio con Linux)|BIOS clock in UTC (dual boot with Linux)|Reloj del BIOS en UTC (arranque dual con Linux)|BIOS-Uhr in UTC (Dual-Boot mit Linux)|Horloge du BIOS en UTC (double démarrage avec Linux)|Zegar BIOS w UTC (dual boot z Linuksem)|Relógio do BIOS em UTC (dual boot com Linux)|Ceasul BIOS în UTC (dual boot cu Linux)|Часы BIOS в UTC (двойная загрузка с Linux)
L|chkAdvRazer|Niente installazione automatica del software Razer|No automatic Razer software install|Sin instalación automática del software Razer|Keine automatische Razer-Softwareinstallation|Pas d'installation automatique du logiciel Razer|Bez automatycznej instalacji oprogramowania Razer|Sem instalação automática do software Razer|Fără instalare automată a software-ului Razer|Без автоустановки ПО Razer
L|chkAdvLogi|Niente assistente download Logitech|No Logitech download assistant|Sin asistente de descargas de Logitech|Kein Logitech-Download-Assistent|Pas d'assistant de téléchargement Logitech|Bez asystenta pobierania Logitech|Sem assistente de download da Logitech|Fără asistentul de descărcare Logitech|Без помощника загрузки Logitech
L|chkIPv4Pref|IPv4 prima di IPv6|IPv4 before IPv6|IPv4 antes que IPv6|IPv4 vor IPv6|IPv4 avant IPv6|IPv4 przed IPv6|IPv4 antes do IPv6|IPv4 înaintea IPv6|IPv4 раньше IPv6
L|chkDiskNoSleep|Dischi e SSD sempre attivi (con alimentazione collegata)|Disks and SSDs always on (while plugged in)|Discos y SSD siempre activos (enchufado)|Festplatten und SSDs immer aktiv (am Netz)|Disques et SSD toujours actifs (sur secteur)|Dyski i SSD zawsze aktywne (na zasilaniu)|Discos e SSDs sempre ativos (na tomada)|Discuri și SSD mereu active (la priză)|Диски и SSD всегда активны (от сети)
H|chkAdvUtc|Windows legge l'ora del BIOS come UTC, come fa Linux: con il doppio avvio l'orologio non salta più di un'ora a ogni cambio di sistema.|Windows reads the BIOS time as UTC, like Linux: with dual boot the clock no longer jumps an hour each time you switch systems.|Windows lee la hora de la BIOS como UTC, igual que Linux: con arranque dual el reloj ya no salta una hora cada vez que cambias de sistema.|Windows liest die BIOS-Zeit als UTC, wie Linux: Bei Dual-Boot springt die Uhr beim Systemwechsel nicht mehr um eine Stunde.|Windows lit l'heure du BIOS en UTC, comme Linux : en double démarrage, l'horloge ne saute plus d'une heure à chaque changement de système.|Windows odczytuje czas BIOS jako UTC, jak Linux: przy podwójnym rozruchu zegar nie przeskakuje już o godzinę po zmianie systemu.|O Windows lê a hora da BIOS como UTC, como o Linux: com dual boot o relógio não pula mais uma hora ao trocar de sistema.|Windows citește ora din BIOS ca UTC, ca Linux: cu dual boot ceasul nu mai sare o oră la fiecare schimbare de sistem.|Windows читает время BIOS как UTC, как Linux: при двойной загрузке часы больше не сдвигаются на час при смене системы.
H|chkAdvRazer|Blocca i co-installer dei driver e la cartella in cui Razer Synapse si copia quando colleghi una periferica. Blocca anche i co-installer di altri produttori.|Blocks driver co-installers and the folder Razer Synapse copies itself into when you plug in a device. It also blocks other vendors' co-installers.|Bloquea los coinstaladores de controladores y la carpeta en la que Razer Synapse se copia al conectar un dispositivo. También bloquea los coinstaladores de otros fabricantes.|Blockiert Treiber-Co-Installer und den Ordner, in den sich Razer Synapse beim Anschließen eines Geräts kopiert. Blockiert auch Co-Installer anderer Hersteller.|Bloque les co-installeurs de pilotes et le dossier où Razer Synapse se copie quand on branche un périphérique. Bloque aussi les co-installeurs des autres fabricants.|Blokuje współinstalatory sterowników i folder, do którego Razer Synapse kopiuje się po podłączeniu urządzenia. Blokuje też współinstalatory innych producentów.|Bloqueia os coinstaladores de drivers e a pasta onde o Razer Synapse se copia ao conectar um dispositivo. Também bloqueia coinstaladores de outros fabricantes.|Blochează co-instalatoarele de drivere și folderul în care Razer Synapse se copiază când conectezi un dispozitiv. Blochează și co-instalatoarele altor producători.|Блокирует соустановщики драйверов и папку, куда Razer Synapse копирует себя при подключении устройства. Также блокирует соустановщики других производителей.
H|chkAdvLogi|Chiude l'assistente download Logitech e gli impedisce di reinstallarsi a ogni avvio.|Closes the Logitech download assistant and stops it from reinstalling at every startup.|Cierra el asistente de descargas de Logitech e impide que se reinstale en cada inicio.|Beendet den Logitech-Download-Assistenten und verhindert, dass er sich bei jedem Start neu installiert.|Ferme l'assistant de téléchargement Logitech et l'empêche de se réinstaller à chaque démarrage.|Zamyka asystenta pobierania Logitech i nie pozwala mu instalować się przy każdym uruchomieniu.|Fecha o assistente de download da Logitech e impede que se reinstale a cada inicialização.|Închide asistentul de descărcare Logitech și îl împiedică să se reinstaleze la fiecare pornire.|Закрывает помощник загрузки Logitech и не даёт ему переустанавливаться при каждом запуске.
H|chkIPv4Pref|IPv6 resta attivo, ma Windows prova prima IPv4. Utile con reti o router che gestiscono male IPv6.|IPv6 stays on, but Windows tries IPv4 first. Useful with networks or routers that handle IPv6 poorly.|IPv6 sigue activo, pero Windows prueba primero IPv4. Útil con redes o routers que gestionan mal IPv6.|IPv6 bleibt aktiv, aber Windows versucht zuerst IPv4. Nützlich bei Netzen oder Routern, die IPv6 schlecht handhaben.|IPv6 reste actif, mais Windows essaie d'abord IPv4. Utile avec les réseaux ou routeurs qui gèrent mal IPv6.|IPv6 pozostaje włączony, ale Windows najpierw próbuje IPv4. Przydatne z sieciami lub routerami, które źle obsługują IPv6.|O IPv6 continua ativo, mas o Windows tenta primeiro o IPv4. Útil com redes ou roteadores que lidam mal com IPv6.|IPv6 rămâne activ, dar Windows încearcă întâi IPv4. Util cu rețele sau routere care gestionează prost IPv6.|IPv6 остаётся включённым, но Windows сначала пробует IPv4. Полезно с сетями или роутерами, плохо работающими с IPv6.
H|chkDiskNoSleep|Con l'alimentazione collegata dischi, collegamento SATA e SSD NVMe non entrano mai in risparmio: niente attese al risveglio. A batteria resta tutto com'era.|While plugged in, disks, the SATA link and NVMe SSDs never enter power saving: no wake-up delays. On battery everything stays as before.|Con el cargador conectado, discos, enlace SATA y SSD NVMe nunca entran en ahorro de energía: sin retrasos al despertar. Con batería todo queda como antes.|Am Netz gehen Festplatten, SATA-Verbindung und NVMe-SSDs nie in den Energiesparmodus: keine Aufwachverzögerungen. Im Akkubetrieb bleibt alles wie vorher.|Sur secteur, disques, lien SATA et SSD NVMe n'entrent jamais en économie d'énergie : aucun délai de réveil. Sur batterie, rien ne change.|Na zasilaczu dyski, łącze SATA i dyski NVMe nigdy nie przechodzą w oszczędzanie energii: brak opóźnień wybudzania. Na baterii bez zmian.|Na tomada, discos, link SATA e SSDs NVMe nunca entram em economia de energia: sem atrasos ao despertar. Na bateria tudo fica como antes.|La priză, discurile, legătura SATA și SSD-urile NVMe nu intră niciodată în economisire: fără întârzieri la trezire. Pe baterie totul rămâne ca înainte.|От сети диски, канал SATA и NVMe SSD никогда не переходят в энергосбережение: без задержек пробуждения. От батареи всё как раньше.
H|chkS0Sleep|Con lo standby moderno il PC resta connesso mentre dorme: scarica aggiornamenti e si scalda in borsa. Spento, la rete si ferma durante lo standby.|With modern standby the PC stays connected while asleep: it downloads updates and warms up in the bag. Off, networking stops during standby.
H|chkS3Sleep|Usa la sospensione classica al posto dello standby moderno: il PC dorme davvero. Se il BIOS non la supporta, la voce Sospendi sparisce: in quel caso ripristina questa voce.|Uses classic sleep instead of modern standby: the PC really sleeps. If the BIOS doesn't support it, the Sleep option disappears: in that case reset this entry.
M|actRun|Modifiche: {0}|Changes: {0}|Cambios: {0}|Änderungen: {0}|Modifications : {0}|Zmiany: {0}|Alterações: {0}|Modificări: {0}|Изменения: {0}
M|jobWorking|In corso...|Working...|En curso...|Läuft...|En cours...|W toku...|Em andamento...|În curs...|Выполняется...
M|badgeActive|Attivo|Active|Activo|Aktiv|Actif|Aktywne|Ativo|Activ|Активно
M|starTip|Consigliato: un clic lo seleziona, poi premi «Applica modifiche».|Recommended: one click selects it, then press «Apply changes».|Recomendado: un clic lo selecciona, luego pulsa «Aplicar cambios».|Empfohlen: ein Klick wählt es aus, dann «Änderungen anwenden» drücken.|Recommandé : un clic le sélectionne, puis appuyez sur «Appliquer».|Zalecane: kliknięcie zaznacza, potem naciśnij «Zastosuj zmiany».|Recomendado: um clique seleciona, depois pressione «Aplicar alterações».|Recomandat: un clic îl selectează, apoi apasă «Aplică modificările».|Рекомендуется: щелчок выбирает, затем нажмите «Применить».
M|scanRunning|Controllo delle voci già attive...|Checking entries already active...|Comprobando opciones ya activas...|Bereits aktive Einträge werden geprüft...|Vérification des options déjà actives...|Sprawdzanie aktywnych opcji...|Verificando opções já ativas...|Se verifică opțiunile deja active...|Проверка уже активных пунктов...
M|scanDone|Voci già attive su questo PC: {0}. Sono segnate con «Attivo».|Entries already active on this PC: {0}. They are marked «Active».|Opciones ya activas en este PC: {0}. Están marcadas como «Activo».|Bereits aktive Einträge auf diesem PC: {0}. Sie sind mit «Aktiv» markiert.|Options déjà actives sur ce PC : {0}. Elles sont marquées «Actif».|Opcje już aktywne na tym PC: {0}. Są oznaczone jako «Aktywne».|Opções já ativas neste PC: {0}. Estão marcadas como «Ativo».|Opțiuni deja active pe acest PC: {0}. Sunt marcate «Activ».|Уже активных пунктов на этом ПК: {0}. Они отмечены «Активно».
M|currentSetting|Impostazione attuale: {0}|Current setting: {0}|Ajuste actual: {0}|Aktuelle Einstellung: {0}|Réglage actuel : {0}|Obecne ustawienie: {0}|Configuração atual: {0}|Setare actuală: {0}|Текущая настройка: {0}
M|ttlClean|Pulizia del PC|PC cleanup|Limpieza del PC|PC-Bereinigung|Nettoyage du PC|Czyszczenie komputera|Limpeza do PC|Curățare PC|Очистка ПК
M|cleanHint|Scegli cosa pulire. Le voci spente sono dati utili: cancellale solo se sai che non ti servono.|Choose what to clean. The unchecked entries are useful data: delete them only if you know you don't need them.|Elige qué limpiar. Las opciones apagadas son datos útiles: bórralas solo si sabes que no los necesitas.|Wähle, was bereinigt wird. Nicht gewählte Einträge sind nützliche Daten: nur löschen, wenn du sie nicht brauchst.|Choisissez quoi nettoyer. Les options décochées sont des données utiles : supprimez-les seulement si vous n'en avez pas besoin.|Wybierz, co wyczyścić. Wyłączone opcje to przydatne dane: usuń je tylko, jeśli ich nie potrzebujesz.|Escolha o que limpar. As opções desligadas são dados úteis: apague-as só se souber que não precisa.|Alege ce cureți. Opțiunile nebifate sunt date utile: șterge-le doar dacă știi că nu îți trebuie.|Выберите, что очистить. Невыбранные пункты — полезные данные: удаляйте, только если они не нужны.
M|cleanScan|Calcola spazio|Measure space|Calcular espacio|Platz berechnen|Calculer l'espace|Oblicz miejsce|Calcular espaço|Calculează spațiul|Подсчитать место
M|cleanRun|Pulisci selezionati|Clean selected|Limpiar seleccionados|Ausgewählte bereinigen|Nettoyer la sélection|Wyczyść zaznaczone|Limpar selecionados|Curăță selectate|Очистить выбранное
M|cleanAsk|Pulisco {0} voci. I file eliminati non finiscono nel Cestino. Procedo?|I'll clean {0} entries. Deleted files do not go to the Recycle Bin. Go ahead?|Limpio {0} opciones. Los archivos borrados no van a la Papelera. ¿Sigo?|Ich bereinige {0} Einträge. Gelöschte Dateien landen nicht im Papierkorb. Fortfahren?|Je nettoie {0} options. Les fichiers supprimés ne vont pas dans la Corbeille. Je continue ?|Czyszczę {0} opcji. Usunięte pliki nie trafiają do Kosza. Kontynuować?|Vou limpar {0} opções. Os arquivos apagados não vão para a Lixeira. Continuo?|Curăț {0} opțiuni. Fișierele șterse nu ajung în Coșul de reciclare. Continui?|Очищу {0} пунктов. Удалённые файлы не попадают в корзину. Продолжить?
M|cleanMeasuring|calcolo...|measuring...|calculando...|wird berechnet...|calcul...|obliczanie...|calculando...|se calculează...|подсчёт...
M|cleanFreed|Liberati {0}|{0} freed|{0} liberados|{0} freigegeben|{0} libérés|Zwolniono {0}|{0} liberados|{0} eliberați|Освобождено {0}
M|clean_winTemp|File temporanei di Windows|Windows temporary files|Archivos temporales de Windows|Temporäre Windows-Dateien|Fichiers temporaires de Windows|Pliki tymczasowe Windows|Arquivos temporários do Windows|Fișiere temporare Windows|Временные файлы Windows
M|clean_userTemp|File temporanei dell'utente|User temporary files|Archivos temporales del usuario|Temporäre Benutzerdateien|Fichiers temporaires de l'utilisateur|Pliki tymczasowe użytkownika|Arquivos temporários do usuário|Fișiere temporare ale utilizatorului|Временные файлы пользователя
M|clean_wuCache|Aggiornamenti di Windows già scaricati|Already downloaded Windows updates|Actualizaciones de Windows ya descargadas|Bereits geladene Windows-Updates|Mises à jour Windows déjà téléchargées|Pobrane już aktualizacje Windows|Atualizações do Windows já baixadas|Actualizări Windows deja descărcate|Уже загруженные обновления Windows
M|clean_doCache|Cache di Ottimizzazione recapito|Delivery Optimization cache|Caché de Optimización de distribución|Übermittlungsoptimierungs-Cache|Cache de l'optimisation de distribution|Pamięć podręczna optymalizacji dostarczania|Cache da Otimização de Entrega|Cache Optimizare livrare|Кэш оптимизации доставки
M|clean_recycle|Cestino|Recycle Bin|Papelera|Papierkorb|Corbeille|Kosz|Lixeira|Coș de reciclare|Корзина
M|clean_errors|Segnalazioni errori e dump|Error reports and dumps|Informes de errores y volcados|Fehlerberichte und Speicherabbilder|Rapports d'erreurs et vidages|Raporty błędów i zrzuty|Relatórios de erro e despejos|Rapoarte de erori și dumpuri|Отчёты об ошибках и дампы
M|clean_thumbs|Cache delle miniature|Thumbnail cache|Caché de miniaturas|Miniaturansicht-Cache|Cache des miniatures|Pamięć miniatur|Cache de miniaturas|Cache miniaturi|Кэш эскизов
M|clean_recent|File recenti ed elenchi di salto|Recent files and jump lists|Archivos recientes y listas de accesos|Zuletzt verwendete Dateien und Sprunglisten|Fichiers récents et listes de raccourcis|Ostatnie pliki i listy szybkiego dostępu|Arquivos recentes e listas de atalhos|Fișiere recente și liste de salt|Недавние файлы и списки переходов
M|clean_runHist|Cronologia di Esegui e dei percorsi digitati|Run and typed path history|Historial de Ejecutar y rutas escritas|Verlauf von Ausführen und eingegebenen Pfaden|Historique Exécuter et chemins saisis|Historia Uruchom i wpisanych ścieżek|Histórico do Executar e caminhos digitados|Istoric Executare și căi tastate|История «Выполнить» и введённых путей
M|clean_prefetch|Prefetch|Prefetch|Prefetch|Prefetch|Prefetch|Prefetch|Prefetch|Prefetch|Prefetch
M|cleanTip_winTemp|File lasciati dai programmi di installazione e dal sistema.|Files left behind by installers and the system.|Archivos dejados por instaladores y el sistema.|Von Installationsprogrammen und System hinterlassene Dateien.|Fichiers laissés par les installateurs et le système.|Pliki pozostawione przez instalatory i system.|Arquivos deixados por instaladores e pelo sistema.|Fișiere lăsate de instalatoare și sistem.|Файлы, оставленные установщиками и системой.
M|cleanTip_userTemp|File temporanei dei programmi che usi. Quelli in uso vengono saltati.|Temporary files of the programs you use. Files in use are skipped.|Archivos temporales de tus programas. Los que están en uso se omiten.|Temporäre Dateien deiner Programme. Dateien in Verwendung werden übersprungen.|Fichiers temporaires de vos programmes. Ceux utilisés sont ignorés.|Pliki tymczasowe programów. Używane są pomijane.|Arquivos temporários dos programas. Os em uso são ignorados.|Fișierele temporare ale programelor. Cele în uz sunt sărite.|Временные файлы программ. Используемые пропускаются.
M|cleanTip_wuCache|Pacchetti già installati. Windows Update si ferma per pochi secondi.|Packages already installed. Windows Update pauses for a few seconds.|Paquetes ya instalados. Windows Update se detiene unos segundos.|Bereits installierte Pakete. Windows Update pausiert kurz.|Paquets déjà installés. Windows Update s'arrête quelques secondes.|Już zainstalowane pakiety. Windows Update zatrzymuje się na chwilę.|Pacotes já instalados. O Windows Update para por alguns segundos.|Pachete deja instalate. Windows Update se oprește câteva secunde.|Уже установленные пакеты. Windows Update ненадолго остановится.
M|cleanTip_doCache|Copie degli aggiornamenti condivise con altri PC.|Update copies shared with other PCs.|Copias de actualizaciones compartidas con otros PC.|Mit anderen PCs geteilte Update-Kopien.|Copies de mises à jour partagées avec d'autres PC.|Kopie aktualizacji udostępniane innym PC.|Cópias de atualizações compartilhadas com outros PCs.|Copii ale actualizărilor partajate cu alte PC-uri.|Копии обновлений для других ПК.
M|cleanTip_recycle|Svuota il Cestino su tutti i dischi.|Empties the Recycle Bin on every drive.|Vacía la Papelera en todas las unidades.|Leert den Papierkorb auf allen Laufwerken.|Vide la Corbeille sur tous les disques.|Opróżnia Kosz na wszystkich dyskach.|Esvazia a Lixeira em todas as unidades.|Golește Coșul pe toate unitățile.|Очищает корзину на всех дисках.
M|cleanTip_errors|Rapporti già inviati e file di arresto anomalo.|Reports already sent and crash files.|Informes ya enviados y archivos de bloqueo.|Bereits gesendete Berichte und Absturzdateien.|Rapports déjà envoyés et fichiers de plantage.|Wysłane raporty i pliki awarii.|Relatórios já enviados e arquivos de falha.|Rapoarte deja trimise și fișiere de blocare.|Отправленные отчёты и файлы сбоев.
